sequence,value
Apply-Notification-NotificationRecruiterMail-ViewSimilarJobs-Edit-ShineLearning-end,1
Apply-Notification-NotificationProfileViews-Edit-end,1
Apply-UpdateFlowSkip-Notification-NotificationRecruiterMail-NotificationProfileViews-ProfileViews-end,3
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationJobAlert-Delete-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationProfileViews-ProfileViews-end,5
Apply-UpdateFlowSkip-ViewSimilarJobs-RateApp-Notification-Edit-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-NotificationProfileViews-Search-end,1
Apply-UpdateFlowSkip-Notification-NotificationProfileViews-ProfileViews-end,5
Apply-Search-UpdateFlow-UpdateFlowSkip-end,2
Apply-UpdateFlowSkip-ViewSimilarJobs-NotificationJobAlert-end,1
Apply-Edit-ShineLearning-end,1
Apply-UpdateFlow-UpdateFlowSkip-Search-end,36
Apply-UpdateFlow-EmailVerify-end,1
Apply-ViewSimilarJobs-Search-RateApp-Edit-end,1
Apply-UpdateFlow-ViewSimilarJobs-Search-end,8
Apply-UpdateFlowSkip-Edit-ViewSimilarJobs-end,1
Apply-UpdateFlowSkip-ViewSimilarJobs-ShareJob-end,1
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlowSkip-UpdateFlow-RateApp-Edit-end,1
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationProfileViews-end,2
Apply-ViewSimilarJobs-Notification-NotificationJobAlert-NotificationRecruiterMail-GCMOpened-end,1
Apply-UpdateFlowSkip-Search-ShareJob-end,1
Apply-Search-NotificationJobAlert-Notification-NotificationProfileViews-ProfileViews-end,1
Apply-UpdateFlowSkip-UpdateFlow-Notification-NotificationJobAlert-NotificationProfileViews-end,1
Apply-UpdateFlowSkip-FeedbackSend-end,8
Apply-UpdateFlowSkip-ViewSimilarJobs-NotificationRecruiterMail-Search-end,1
Apply-UpdateFlowSkip-Logout-end,2
Apply-Search-NotificationJobAlert-end,1
Apply-UpdateFlow-Search-RateApp-end,3
Apply-UpdateFlowSkip-Notification-NotificationRecruiterMail-Search-end,4
Apply-Search-UpdateFlow-ViewSimilarJobs-end,1
Apply-UpdateFlow-SaveJobAlert-end,1
Apply-UpdateFlow-Search-ViewSimilarJobs-end,4
Apply-UpdateFlow-Notification-NotificationProfileViews-ProfileViews-end,2
Apply-UpdateFlow-UpdateFlowSkip-ViewSimilarJobs-Search-ProfileViews-end,1
Apply-UpdateFlow-UpdateFlowSkip-Notification-ViewSimilarJobs-RateApp-end,1
